index,category
0,周围人低声交谈的声音
1,有人清嗓子咳嗽准备说话的声音
2,火灾发生时的警报声
3,表示纪念、试鸣的防空警报
4,突发灾情事故的防空警报
5,手机收到短信的提示音
6,手机来电铃声
7,有人敲了敲用户的桌子的声音
8,窗外有警车经过的声音
9,窗外有救护车经过的声音
10,窗外有消防车经过的声音
11,窗外有普通汽车经过的声音
12,窗外下大雨的声音
13,窗外刮大风的声音
14,有人打开了用户所在的房间门的声音
15,用户所在房间内漏水的声音
16,用户所在房间外水龙头流水声
17,有人敲用户房间门、按门铃的声音
18,用户身后的脚步声
19,用户房间外的脚步声
20,别人敲键盘、鼠标的声音
21,用户的闹钟的声音
22,用户的东西掉落的声音(室内)
23,有人拍手的声音
24,室内烟雾、煤气警报
25,防盗警报
26,微波炉完成食物加热时的提示音
27,水烧开时的声音
28,室内空调等家电开始、结束、故障等情况下发出的提示音
29,狗叫
30,用户的东西掉落的声音(室外)
31,汽车按喇叭的声音
32,汽车从用户身边经过的声音
33,车辆倒车时的提示声
34,附近警车的鸣笛声
35,附近救护车的鸣笛声
36,附近消防车的鸣笛声
37,自行车、电动车按铃声
38,自行车、电动车的刹车声
39,汽车的刹车声
40,红灯、绿灯时的提示声
41,用户包、兜里的手机来电铃声
42,用户包、兜里的手机短消息音
43,夜间行路时用户身后的脚步声
44,白天行路时用户身后的脚步声
45,雷声
46,用户身后的冲突声、他人喊叫声
47,身后传来的跑步声
49,chirping_birds
50,airplane
51,mouse_click
52,train
53,sheep
54,brushing_teeth
55,helicopter
56,insects
57,laughing
58,hen
59,engine
60,breathing
61,crying_baby
62,pig
63,washing_machine
64,cat
